Naan (2012),/naan-2012-tamil-movie/
Nanban (2012),/nanban-2012-tamil-movie/
Oru Kal Oru Kannadi (2012),/oru-kal-oru-kannadi-2012-tamil-movie/
Vettai (2012),/vettai-2012-tamil-movie/
Attakathi (2012),/attakathi-2012-tamil-movie/
Kollaikaran (2012),/kollaikaran-2012-tamil-movie/
Kozhi Koovuthu (2012),/kozhi-koovuthu-2012-tamil-movie/
Naan Ee (2012),/naan-ee-2012-tamil-movie/
Neethaane En Ponvasantham (2012),/neethaane-en-ponvasantham-2012-tamil-movie/
Sattam Oru Iruttarai (2012),/sattam-oru-iruttarai-2012-tamil-movie/
